tag,target_dataset,target_category,unseen_type,count,overall_auroc,seen_auroc,unseen_auroc,accuracy,precision,recall,f1,normal_fpr,seen_recall,unseen_recall,deploy_threshold,best_f1_threshold,best_f1_f1,p_at_target_fpr_threshold,p_at_target_fpr_precision,p_at_target_fpr_recall,mean_latency_ms,p95_latency_ms,wall_time_s,timestamp
mvtec_ad_grid_unseen_bent,mvtec_ad,grid,bent,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-3.6072393528964457,-3.8257124710082997,1.0,-4.798161029815674,0.9310344827586207,1.0,25.194985428242944,27.46119996299967,2550.0,2026-08-19 12:36:23
mvtec_ad_leather_unseen_fold,mvtec_ad,leather,fold,94,0.998991935483871,0.9986111111111111,1.0,0.9680851063829787,0.9538461538461539,1.0,0.9763779527559056,0.09375,1.0,1.0,-6.172401663128098,3.186694774627697,0.992,-4.540484786033632,0.96875,1.0,27.787086182333372,31.182909989729524,2437.3,2026-08-19 13:17:07
mvtec_ad_capsule_unseen_crack,mvtec_ad,capsule,crack,102,0.876169510181618,0.8812111801242236,0.8638941398865785,0.7254901960784313,0.9636363636363636,0.6708860759493671,0.7910447761194029,0.08695652173913043,0.6785714285714286,0.6521739130434783,0.5000958565590292,-1.9650019586086271,0.9090909090909091,0.8681932806968682,0.9622641509433962,0.6455696202531646,26.126557846973633,31.010450108442452,2569.9,2026-08-19 14:00:02
mvtec_ad_transistor_unseen_bent_lead,mvtec_ad,transistor,bent_lead,70,0.8583333333333334,nan,0.8583333333333334,0.8714285714285714,1.0,0.1,0.18181818181818182,0.0,nan,0.1,1.3281853510857198,-1.065611901283264,0.5454545454545454,-0.13167561441659978,0.5,0.3,26.995024287940137,30.807824980001897,2593.2,2026-08-19 14:43:21
dagm2007_Class3,dagm2007,Class3,,611,0.998387644263408,0.998387644263408,nan,0.9574468085106383,0.8263888888888888,0.9916666666666667,0.9015151515151515,0.05091649694501019,0.9916666666666667,nan,-1.6995847070503358,-0.5171836614608765,0.9629629629629629,-1.708052396774292,0.8263888888888888,0.9916666666666667,20.321535843587593,24.81949992943555,2599.1,2026-08-19 15:26:45
mvtec_ad_capsule_unseen_squeeze,mvtec_ad,capsule,squeeze,102,0.9014859658778205,0.8909358879882092,0.932608695652174,0.7941176470588235,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.17391304347826086,0.7457627118644068,0.9,0.08303536055157122,-1.8482572507858273,0.9259259259259259,1.6376746654510486,0.96,0.6075949367088608,30.897235294676147,35.41743998648599,2440.1,2026-08-21 19:54:44
